ensemblid	counts
ENSMUSG00000000001	1797
ENSMUSG00000000003	0
ENSMUSG00000000028	7
ENSMUSG00000000031	0
ENSMUSG00000000037	17
ENSMUSG00000000049	38
ENSMUSG00000000056	433
ENSMUSG00000000058	634
ENSMUSG00000000078	465
ENSMUSG00000000085	716
ENSMUSG00000000088	880
ENSMUSG00000000093	243
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	5
ENSMUSG00000000125	0
ENSMUSG00000000126	27
ENSMUSG00000000127	85
ENSMUSG00000000131	827
ENSMUSG00000000134	233
ENSMUSG00000000142	1
ENSMUSG00000000148	256
ENSMUSG00000000149	894
ENSMUSG00000000154	4490
ENSMUSG00000000157	77
ENSMUSG00000000159	446
ENSMUSG00000000167	90
ENSMUSG00000000168	2844
ENSMUSG00000000171	2412
ENSMUSG00000000182	1
ENSMUSG00000000183	0
ENSMUSG00000000184	199
ENSMUSG00000000194	510
ENSMUSG00000000197	10
ENSMUSG00000000202	0
ENSMUSG00000000204	2
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	686
ENSMUSG00000000223	2
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	5
ENSMUSG00000000253	212
ENSMUSG00000000263	0
ENSMUSG00000000266	771
ENSMUSG00000000275	1959
ENSMUSG00000000276	264
ENSMUSG00000000278	1238
ENSMUSG00000000282	429
ENSMUSG00000000290	44
ENSMUSG00000000295	28
ENSMUSG00000000296	134
ENSMUSG00000000301	0
ENSMUSG00000000303	2218
ENSMUSG00000000305	2
ENSMUSG00000000308	119
ENSMUSG00000000317	44
ENSMUSG00000000318	0
ENSMUSG00000000320	71
ENSMUSG00000000325	114
ENSMUSG00000000326	4756
ENSMUSG00000000339	94
ENSMUSG00000000340	1243
ENSMUSG00000000346	13696
ENSMUSG00000000355	538
ENSMUSG00000000359	104
ENSMUSG00000000365	0
ENSMUSG00000000374	2014
ENSMUSG00000000378	36
ENSMUSG00000000381	14
ENSMUSG00000000384	1363
ENSMUSG00000000385	1621
ENSMUSG00000000386	26
ENSMUSG00000000392	6
ENSMUSG00000000394	0
ENSMUSG00000000399	1120
ENSMUSG00000000402	615
ENSMUSG00000000409	1
ENSMUSG00000000411	0
ENSMUSG00000000416	405
ENSMUSG00000000420	3661
ENSMUSG00000000435	0
ENSMUSG00000000439	92
ENSMUSG00000000440	22
ENSMUSG00000000441	1133
ENSMUSG00000000486	14
ENSMUSG00000000489	5500
ENSMUSG00000000530	134
ENSMUSG00000000531	34
ENSMUSG00000000532	172
ENSMUSG00000000538	1921
ENSMUSG00000000544	1
ENSMUSG00000000552	52
ENSMUSG00000000555	103
ENSMUSG00000000560	1
ENSMUSG00000000561	406
ENSMUSG00000000562	8
ENSMUSG00000000563	3922
ENSMUSG00000000567	5
ENSMUSG00000000568	939
ENSMUSG00000000579	673
ENSMUSG00000000581	859
ENSMUSG00000000594	6205
ENSMUSG00000000600	797
ENSMUSG00000000605	375
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	6
ENSMUSG00000000628	4
ENSMUSG00000000631	1347
ENSMUSG00000000632	1
ENSMUSG00000000673	1262
ENSMUSG00000000682	12
ENSMUSG00000000686	1
ENSMUSG00000000690	286
ENSMUSG00000000693	39
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	4
ENSMUSG00000000708	1119
ENSMUSG00000000711	1029
ENSMUSG00000000724	26
ENSMUSG00000000730	10
ENSMUSG00000000731	3
ENSMUSG00000000732	27
ENSMUSG00000000738	886
ENSMUSG00000000739	1
ENSMUSG00000000740	1246
ENSMUSG00000000743	216
ENSMUSG00000000751	168
ENSMUSG00000000753	0
ENSMUSG00000000759	465
ENSMUSG00000000766	35
ENSMUSG00000000776	43
ENSMUSG00000000782	190
ENSMUSG00000000787	3350
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	1
ENSMUSG00000000804	1218
ENSMUSG00000000805	998
ENSMUSG00000000811	88
ENSMUSG00000000817	0
ENSMUSG00000000823	304
ENSMUSG00000000826	1228
ENSMUSG00000000827	616
ENSMUSG00000000838	984
ENSMUSG00000000861	2
ENSMUSG00000000869	2
ENSMUSG00000000876	3220
ENSMUSG00000000881	100
ENSMUSG00000000884	13
ENSMUSG00000000889	0
ENSMUSG00000000901	9
ENSMUSG00000000902	394
ENSMUSG00000000903	0
ENSMUSG00000000915	132
ENSMUSG00000000916	39
ENSMUSG00000000934	81
ENSMUSG00000000938	1595
ENSMUSG00000000942	8
ENSMUSG00000000948	195
ENSMUSG00000000957	751
ENSMUSG00000000958	3901
ENSMUSG00000000959	533
ENSMUSG00000000976	416
ENSMUSG00000000982	0
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	153
ENSMUSG00000001017	1124
ENSMUSG00000001018	398
ENSMUSG00000001020	18
ENSMUSG00000001021	1
ENSMUSG00000001023	0
ENSMUSG00000001025	176
ENSMUSG00000001027	0
ENSMUSG00000001029	23
