ensemblid	counts
ENSMUSG00000000001	552
ENSMUSG00000000003	0
ENSMUSG00000000028	14
ENSMUSG00000000031	0
ENSMUSG00000000037	3
ENSMUSG00000000049	2
ENSMUSG00000000056	314
ENSMUSG00000000058	729
ENSMUSG00000000078	534
ENSMUSG00000000085	334
ENSMUSG00000000088	700
ENSMUSG00000000093	99
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	3
ENSMUSG00000000125	0
ENSMUSG00000000126	21
ENSMUSG00000000127	136
ENSMUSG00000000131	594
ENSMUSG00000000134	125
ENSMUSG00000000142	12
ENSMUSG00000000148	81
ENSMUSG00000000149	1289
ENSMUSG00000000154	1941
ENSMUSG00000000157	103
ENSMUSG00000000159	289
ENSMUSG00000000167	45
ENSMUSG00000000168	1310
ENSMUSG00000000171	1390
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	106
ENSMUSG00000000194	355
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	0
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	415
ENSMUSG00000000223	9
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	3
ENSMUSG00000000253	168
ENSMUSG00000000263	0
ENSMUSG00000000266	457
ENSMUSG00000000275	1061
ENSMUSG00000000276	108
ENSMUSG00000000278	1067
ENSMUSG00000000282	143
ENSMUSG00000000290	42
ENSMUSG00000000295	19
ENSMUSG00000000296	28
ENSMUSG00000000301	0
ENSMUSG00000000303	1340
ENSMUSG00000000305	0
ENSMUSG00000000308	46
ENSMUSG00000000317	61
ENSMUSG00000000318	3
ENSMUSG00000000320	35
ENSMUSG00000000325	87
ENSMUSG00000000326	943
ENSMUSG00000000339	46
ENSMUSG00000000340	621
ENSMUSG00000000346	3676
ENSMUSG00000000355	332
ENSMUSG00000000359	42
ENSMUSG00000000365	0
ENSMUSG00000000374	312
ENSMUSG00000000378	180
ENSMUSG00000000381	1
ENSMUSG00000000384	186
ENSMUSG00000000385	699
ENSMUSG00000000386	229
ENSMUSG00000000392	16
ENSMUSG00000000394	0
ENSMUSG00000000399	517
ENSMUSG00000000402	502
ENSMUSG00000000409	13
ENSMUSG00000000411	0
ENSMUSG00000000416	146
ENSMUSG00000000420	1050
ENSMUSG00000000435	0
ENSMUSG00000000439	51
ENSMUSG00000000440	14
ENSMUSG00000000441	375
ENSMUSG00000000486	23
ENSMUSG00000000489	104
ENSMUSG00000000530	38
ENSMUSG00000000531	11
ENSMUSG00000000532	128
ENSMUSG00000000538	702
ENSMUSG00000000544	1
ENSMUSG00000000552	14
ENSMUSG00000000555	304
ENSMUSG00000000560	1
ENSMUSG00000000561	226
ENSMUSG00000000562	4
ENSMUSG00000000563	2179
ENSMUSG00000000567	28
ENSMUSG00000000568	614
ENSMUSG00000000579	481
ENSMUSG00000000581	532
ENSMUSG00000000594	2239
ENSMUSG00000000600	637
ENSMUSG00000000605	207
ENSMUSG00000000606	0
ENSMUSG00000000617	1
ENSMUSG00000000627	2
ENSMUSG00000000628	19
ENSMUSG00000000631	597
ENSMUSG00000000632	10
ENSMUSG00000000673	313
ENSMUSG00000000682	20
ENSMUSG00000000686	4
ENSMUSG00000000690	137
ENSMUSG00000000693	40
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	1
ENSMUSG00000000708	579
ENSMUSG00000000711	635
ENSMUSG00000000724	35
ENSMUSG00000000730	0
ENSMUSG00000000731	14
ENSMUSG00000000732	133
ENSMUSG00000000738	325
ENSMUSG00000000739	13
ENSMUSG00000000740	988
ENSMUSG00000000743	136
ENSMUSG00000000751	108
ENSMUSG00000000753	3
ENSMUSG00000000759	306
ENSMUSG00000000766	20
ENSMUSG00000000776	12
ENSMUSG00000000782	51
ENSMUSG00000000787	1734
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	671
ENSMUSG00000000805	561
ENSMUSG00000000811	70
ENSMUSG00000000817	1
ENSMUSG00000000823	206
ENSMUSG00000000826	1015
ENSMUSG00000000827	372
ENSMUSG00000000838	607
ENSMUSG00000000861	10
ENSMUSG00000000869	5
ENSMUSG00000000876	1454
ENSMUSG00000000881	89
ENSMUSG00000000884	7
ENSMUSG00000000889	1
ENSMUSG00000000901	30
ENSMUSG00000000902	254
ENSMUSG00000000903	0
ENSMUSG00000000915	138
ENSMUSG00000000916	9
ENSMUSG00000000934	56
ENSMUSG00000000938	192
ENSMUSG00000000942	9
ENSMUSG00000000948	95
ENSMUSG00000000957	63
ENSMUSG00000000958	1261
ENSMUSG00000000959	333
ENSMUSG00000000976	181
ENSMUSG00000000982	5
ENSMUSG00000000983	2
ENSMUSG00000001014	0
ENSMUSG00000001016	78
ENSMUSG00000001017	484
ENSMUSG00000001018	361
ENSMUSG00000001020	9
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	335
ENSMUSG00000001027	0
ENSMUSG00000001029	45
ENSMUSG00000001034	26
ENSMUSG00000001036	661
ENSMUSG00000001039	39
ENSMUSG00000001052	578
ENSMUSG00000001053	16
ENSMUSG00000001054	98
ENSMUSG00000001056	71
ENSMUSG00000001062	125
ENSMUSG00000001065	33
ENSMUSG00000001076	0
ENSMUSG00000001082	85
ENSMUSG00000001089	770
ENSMUSG00000001095	236
ENSMUSG00000001098	50
ENSMUSG00000001100	337
ENSMUSG00000001103	0
ENSMUSG00000001105	247
ENSMUSG00000001119	121
ENSMUSG00000001120	102
ENSMUSG00000001123	71
ENSMUSG00000001127	778
ENSMUSG00000001128	58
ENSMUSG00000001131	29
ENSMUSG00000001134	53
ENSMUSG00000001138	230
ENSMUSG00000001143	261
ENSMUSG00000001150	211
ENSMUSG00000001151	181
ENSMUSG00000001155	237
ENSMUSG00000001156	225
ENSMUSG00000001157	216
ENSMUSG00000001158	294
ENSMUSG00000001166	4
ENSMUSG00000001168	0
ENSMUSG00000001173	574
ENSMUSG00000001175	1915
ENSMUSG00000001211	1816
ENSMUSG00000001225	41
ENSMUSG00000001227	15
ENSMUSG00000001228	27
ENSMUSG00000001229	123
