ensemblid	counts
ENSMUSG00000000001	1068
ENSMUSG00000000003	0
ENSMUSG00000000028	11
ENSMUSG00000000031	0
ENSMUSG00000000037	8
ENSMUSG00000000049	34
ENSMUSG00000000056	169
ENSMUSG00000000058	930
ENSMUSG00000000078	2726
ENSMUSG00000000085	516
ENSMUSG00000000088	293
ENSMUSG00000000093	137
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	61
ENSMUSG00000000125	0
ENSMUSG00000000126	5
ENSMUSG00000000127	79
ENSMUSG00000000131	849
ENSMUSG00000000134	331
ENSMUSG00000000142	11
ENSMUSG00000000148	81
ENSMUSG00000000149	1772
ENSMUSG00000000154	698
ENSMUSG00000000157	90
ENSMUSG00000000159	597
ENSMUSG00000000167	29
ENSMUSG00000000168	961
ENSMUSG00000000171	963
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	124
ENSMUSG00000000194	529
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	3
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	663
ENSMUSG00000000223	1
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	44
ENSMUSG00000000253	91
ENSMUSG00000000263	0
ENSMUSG00000000266	657
ENSMUSG00000000275	1545
ENSMUSG00000000276	180
ENSMUSG00000000278	456
ENSMUSG00000000282	171
ENSMUSG00000000290	82
ENSMUSG00000000295	22
ENSMUSG00000000296	31
ENSMUSG00000000301	0
ENSMUSG00000000303	1576
ENSMUSG00000000305	10
ENSMUSG00000000308	84
ENSMUSG00000000317	78
ENSMUSG00000000318	1
ENSMUSG00000000320	36
ENSMUSG00000000325	111
ENSMUSG00000000326	1608
ENSMUSG00000000339	32
ENSMUSG00000000340	423
ENSMUSG00000000346	4156
ENSMUSG00000000355	336
ENSMUSG00000000359	41
ENSMUSG00000000365	0
ENSMUSG00000000374	361
ENSMUSG00000000378	76
ENSMUSG00000000381	8
ENSMUSG00000000384	194
ENSMUSG00000000385	1231
ENSMUSG00000000386	57
ENSMUSG00000000392	108
ENSMUSG00000000394	0
ENSMUSG00000000399	175
ENSMUSG00000000402	167
ENSMUSG00000000409	3
ENSMUSG00000000411	1
ENSMUSG00000000416	355
ENSMUSG00000000420	1156
ENSMUSG00000000435	0
ENSMUSG00000000439	97
ENSMUSG00000000440	15
ENSMUSG00000000441	474
ENSMUSG00000000486	1
ENSMUSG00000000489	496
ENSMUSG00000000530	56
ENSMUSG00000000531	23
ENSMUSG00000000532	182
ENSMUSG00000000538	1176
ENSMUSG00000000544	0
ENSMUSG00000000552	184
ENSMUSG00000000555	347
ENSMUSG00000000560	0
ENSMUSG00000000561	229
ENSMUSG00000000562	22
ENSMUSG00000000563	1202
ENSMUSG00000000567	382
ENSMUSG00000000568	599
ENSMUSG00000000579	742
ENSMUSG00000000581	275
ENSMUSG00000000594	1303
ENSMUSG00000000600	777
ENSMUSG00000000605	272
ENSMUSG00000000606	1
ENSMUSG00000000617	0
ENSMUSG00000000627	2
ENSMUSG00000000628	24
ENSMUSG00000000631	585
ENSMUSG00000000632	7
ENSMUSG00000000673	102
ENSMUSG00000000682	308
ENSMUSG00000000686	13
ENSMUSG00000000690	335
ENSMUSG00000000693	16
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	4
ENSMUSG00000000708	771
ENSMUSG00000000711	767
ENSMUSG00000000724	33
ENSMUSG00000000730	0
ENSMUSG00000000731	11
ENSMUSG00000000732	59
ENSMUSG00000000738	357
ENSMUSG00000000739	1
ENSMUSG00000000740	1214
ENSMUSG00000000743	232
ENSMUSG00000000751	116
ENSMUSG00000000753	11
ENSMUSG00000000759	324
ENSMUSG00000000766	23
ENSMUSG00000000776	56
ENSMUSG00000000782	78
ENSMUSG00000000787	1400
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	884
ENSMUSG00000000805	246
ENSMUSG00000000811	52
ENSMUSG00000000817	0
ENSMUSG00000000823	367
ENSMUSG00000000826	1058
ENSMUSG00000000827	322
ENSMUSG00000000838	731
ENSMUSG00000000861	1
ENSMUSG00000000869	3
ENSMUSG00000000876	969
ENSMUSG00000000881	118
ENSMUSG00000000884	51
ENSMUSG00000000889	0
ENSMUSG00000000901	44
ENSMUSG00000000902	841
ENSMUSG00000000903	0
