ensemblid	counts
ENSMUSG00000000001	2267
ENSMUSG00000000003	0
ENSMUSG00000000028	46
ENSMUSG00000000031	0
ENSMUSG00000000037	6
ENSMUSG00000000049	51
ENSMUSG00000000056	355
ENSMUSG00000000058	1818
ENSMUSG00000000078	4265
ENSMUSG00000000085	700
ENSMUSG00000000088	723
ENSMUSG00000000093	201
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	6
ENSMUSG00000000125	0
ENSMUSG00000000126	42
ENSMUSG00000000127	431
ENSMUSG00000000131	1208
ENSMUSG00000000134	584
ENSMUSG00000000142	15
ENSMUSG00000000148	105
ENSMUSG00000000149	755
ENSMUSG00000000154	2139
ENSMUSG00000000157	383
ENSMUSG00000000159	1507
ENSMUSG00000000167	37
ENSMUSG00000000168	3099
ENSMUSG00000000171	2334
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	304
ENSMUSG00000000194	575
ENSMUSG00000000197	0
ENSMUSG00000000202	9
ENSMUSG00000000204	33
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	643
ENSMUSG00000000223	6
ENSMUSG00000000244	1
ENSMUSG00000000247	0
ENSMUSG00000000248	3
ENSMUSG00000000253	490
ENSMUSG00000000263	0
ENSMUSG00000000266	874
ENSMUSG00000000275	2276
ENSMUSG00000000276	203
ENSMUSG00000000278	1242
ENSMUSG00000000282	245
ENSMUSG00000000290	56
ENSMUSG00000000295	52
ENSMUSG00000000296	55
ENSMUSG00000000301	13
ENSMUSG00000000303	3123
ENSMUSG00000000305	0
ENSMUSG00000000308	63
ENSMUSG00000000317	70
ENSMUSG00000000318	2
ENSMUSG00000000320	55
ENSMUSG00000000325	227
ENSMUSG00000000326	8857
ENSMUSG00000000339	173
ENSMUSG00000000340	612
ENSMUSG00000000346	10881
ENSMUSG00000000355	543
ENSMUSG00000000359	40
ENSMUSG00000000365	3
ENSMUSG00000000374	900
ENSMUSG00000000378	341
ENSMUSG00000000381	26
ENSMUSG00000000384	719
ENSMUSG00000000385	1196
ENSMUSG00000000386	19
ENSMUSG00000000392	29
ENSMUSG00000000394	0
ENSMUSG00000000399	695
ENSMUSG00000000402	70
ENSMUSG00000000409	2
