ensemblid	counts
ENSMUSG00000000001	972
ENSMUSG00000000003	0
ENSMUSG00000000028	59
ENSMUSG00000000031	0
ENSMUSG00000000037	13
ENSMUSG00000000049	1
ENSMUSG00000000056	259
ENSMUSG00000000058	1774
ENSMUSG00000000078	3047
ENSMUSG00000000085	426
ENSMUSG00000000088	325
ENSMUSG00000000093	129
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	2
ENSMUSG00000000125	0
ENSMUSG00000000126	63
ENSMUSG00000000127	135
ENSMUSG00000000131	750
ENSMUSG00000000134	334
ENSMUSG00000000142	2
ENSMUSG00000000148	91
ENSMUSG00000000149	470
ENSMUSG00000000154	801
ENSMUSG00000000157	177
ENSMUSG00000000159	982
ENSMUSG00000000167	51
ENSMUSG00000000168	798
ENSMUSG00000000171	1127
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	54
ENSMUSG00000000194	364
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	24
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	471
ENSMUSG00000000223	2
ENSMUSG00000000244	2
ENSMUSG00000000247	0
ENSMUSG00000000248	4
ENSMUSG00000000253	195
ENSMUSG00000000263	0
ENSMUSG00000000266	825
ENSMUSG00000000275	1530
ENSMUSG00000000276	194
ENSMUSG00000000278	809
ENSMUSG00000000282	190
ENSMUSG00000000290	162
ENSMUSG00000000295	76
ENSMUSG00000000296	62
ENSMUSG00000000301	38
ENSMUSG00000000303	2042
ENSMUSG00000000305	1
ENSMUSG00000000308	40
ENSMUSG00000000317	19
ENSMUSG00000000318	3
ENSMUSG00000000320	52
ENSMUSG00000000325	109
ENSMUSG00000000326	3004
ENSMUSG00000000339	61
ENSMUSG00000000340	511
ENSMUSG00000000346	4135
ENSMUSG00000000355	413
ENSMUSG00000000359	8
ENSMUSG00000000365	0
ENSMUSG00000000374	332
ENSMUSG00000000378	421
ENSMUSG00000000381	3
ENSMUSG00000000384	256
ENSMUSG00000000385	1017
ENSMUSG00000000386	7
ENSMUSG00000000392	23
ENSMUSG00000000394	0
ENSMUSG00000000399	396
ENSMUSG00000000402	57
ENSMUSG00000000409	51
ENSMUSG00000000411	0
ENSMUSG00000000416	344
ENSMUSG00000000420	1331
ENSMUSG00000000435	0
ENSMUSG00000000439	66
ENSMUSG00000000440	29
ENSMUSG00000000441	651
ENSMUSG00000000486	18
ENSMUSG00000000489	389
ENSMUSG00000000530	105
ENSMUSG00000000531	48
ENSMUSG00000000532	182
ENSMUSG00000000538	1623
ENSMUSG00000000544	0
ENSMUSG00000000552	44
ENSMUSG00000000555	146
ENSMUSG00000000560	1
ENSMUSG00000000561	324
ENSMUSG00000000562	8
ENSMUSG00000000563	1247
ENSMUSG00000000567	370
ENSMUSG00000000568	1133
ENSMUSG00000000579	607
ENSMUSG00000000581	401
ENSMUSG00000000594	1557
ENSMUSG00000000600	1633
ENSMUSG00000000605	280
ENSMUSG00000000606	0
ENSMUSG00000000617	2
ENSMUSG00000000627	2
ENSMUSG00000000628	22
ENSMUSG00000000631	2032
ENSMUSG00000000632	3
ENSMUSG00000000673	138
ENSMUSG00000000682	28
ENSMUSG00000000686	9
ENSMUSG00000000690	346
ENSMUSG00000000693	23
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	1
ENSMUSG00000000708	717
ENSMUSG00000000711	1026
ENSMUSG00000000724	35
ENSMUSG00000000730	0
ENSMUSG00000000731	8
ENSMUSG00000000732	29
ENSMUSG00000000738	227
ENSMUSG00000000739	0
ENSMUSG00000000740	792
ENSMUSG00000000743	190
ENSMUSG00000000751	128
ENSMUSG00000000753	19
ENSMUSG00000000759	871
ENSMUSG00000000766	8
ENSMUSG00000000776	21
ENSMUSG00000000782	11
ENSMUSG00000000787	1978
ENSMUSG00000000791	0
ENSMUSG00000000792	0
