ensemblid	counts
ENSMUSG00000001281	3
ENSMUSG00000001285	50
ENSMUSG00000001288	20
ENSMUSG00000001289	239
ENSMUSG00000001300	84
ENSMUSG00000001305	16
ENSMUSG00000001313	13
ENSMUSG00000001323	474
ENSMUSG00000001333	0
ENSMUSG00000001334	8
ENSMUSG00000001348	124
ENSMUSG00000001349	1
ENSMUSG00000001366	169
ENSMUSG00000001376	558
ENSMUSG00000001379	41
ENSMUSG00000001380	95
ENSMUSG00000001383	84
ENSMUSG00000001403	25
ENSMUSG00000001415	120
ENSMUSG00000001416	214
ENSMUSG00000001417	38
ENSMUSG00000001418	650
ENSMUSG00000001419	241
ENSMUSG00000001420	0
ENSMUSG00000001424	83
ENSMUSG00000001435	314
ENSMUSG00000001436	262
ENSMUSG00000001440	482
ENSMUSG00000001441	282
ENSMUSG00000001444	0
ENSMUSG00000001445	160
ENSMUSG00000001467	1016
ENSMUSG00000001472	674
ENSMUSG00000001473	29
ENSMUSG00000001482	305
ENSMUSG00000001493	36
ENSMUSG00000001494	0
ENSMUSG00000001496	9
ENSMUSG00000001497	85
ENSMUSG00000001504	0
ENSMUSG00000001506	17
ENSMUSG00000001507	251
ENSMUSG00000001508	1
ENSMUSG00000001510	0
ENSMUSG00000001517	8
ENSMUSG00000001518	33
ENSMUSG00000001520	65
ENSMUSG00000001521	401
ENSMUSG00000001524	15
ENSMUSG00000001525	134
ENSMUSG00000001542	393
ENSMUSG00000001552	543
ENSMUSG00000001555	11
ENSMUSG00000001558	0
ENSMUSG00000001566	0
ENSMUSG00000001569	135
ENSMUSG00000001576	477
ENSMUSG00000001583	37
ENSMUSG00000001588	2
ENSMUSG00000001604	116
ENSMUSG00000001622	7
ENSMUSG00000001627	89
ENSMUSG00000001630	94
ENSMUSG00000001632	118
ENSMUSG00000001642	191
ENSMUSG00000001655	0
ENSMUSG00000001656	4
ENSMUSG00000001657	15
ENSMUSG00000001661	69
ENSMUSG00000001663	189
ENSMUSG00000001665	155
ENSMUSG00000001666	146
ENSMUSG00000001670	0
ENSMUSG00000001672	24
ENSMUSG00000001674	95
ENSMUSG00000001687	540
ENSMUSG00000001700	175
ENSMUSG00000001707	58
ENSMUSG00000001729	68
ENSMUSG00000001739	32
ENSMUSG00000001741	24
ENSMUSG00000001750	101
ENSMUSG00000001751	96
ENSMUSG00000001755	471
ENSMUSG00000001761	347
ENSMUSG00000001763	68
ENSMUSG00000001767	130
ENSMUSG00000001768	296
ENSMUSG00000001773	754
ENSMUSG00000001774	684
ENSMUSG00000001783	154
