ensemblid	counts
ENSMUSG00000000001	736
ENSMUSG00000000003	0
ENSMUSG00000000028	126
ENSMUSG00000000031	2
ENSMUSG00000000037	5
ENSMUSG00000000049	1
ENSMUSG00000000056	144
ENSMUSG00000000058	1287
ENSMUSG00000000078	1818
ENSMUSG00000000085	479
ENSMUSG00000000088	379
ENSMUSG00000000093	87
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	1
ENSMUSG00000000125	0
ENSMUSG00000000126	10
ENSMUSG00000000127	161
ENSMUSG00000000131	906
ENSMUSG00000000134	432
ENSMUSG00000000142	1
ENSMUSG00000000148	40
ENSMUSG00000000149	522
ENSMUSG00000000154	625
ENSMUSG00000000157	271
ENSMUSG00000000159	1021
ENSMUSG00000000167	32
ENSMUSG00000000168	1070
ENSMUSG00000000171	628
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	115
ENSMUSG00000000194	271
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	3
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	332
ENSMUSG00000000223	1
ENSMUSG00000000244	0
ENSMUSG00000000247	6
ENSMUSG00000000248	3
ENSMUSG00000000253	199
ENSMUSG00000000263	0
ENSMUSG00000000266	554
ENSMUSG00000000275	1471
ENSMUSG00000000276	229
ENSMUSG00000000278	1882
ENSMUSG00000000282	301
ENSMUSG00000000290	26
ENSMUSG00000000295	96
ENSMUSG00000000296	17
ENSMUSG00000000301	10
ENSMUSG00000000303	1832
ENSMUSG00000000305	24
ENSMUSG00000000308	28
ENSMUSG00000000317	3
ENSMUSG00000000318	0
ENSMUSG00000000320	13
ENSMUSG00000000325	196
ENSMUSG00000000326	8099
ENSMUSG00000000339	38
ENSMUSG00000000340	313
ENSMUSG00000000346	5820
ENSMUSG00000000355	299
ENSMUSG00000000359	32
ENSMUSG00000000365	0
ENSMUSG00000000374	396
ENSMUSG00000000378	49
ENSMUSG00000000381	2
ENSMUSG00000000384	217
ENSMUSG00000000385	929
ENSMUSG00000000386	19
ENSMUSG00000000392	7
ENSMUSG00000000394	0
ENSMUSG00000000399	289
ENSMUSG00000000402	23
ENSMUSG00000000409	6
ENSMUSG00000000411	2
ENSMUSG00000000416	218
ENSMUSG00000000420	1233
ENSMUSG00000000435	0
ENSMUSG00000000439	23
ENSMUSG00000000440	26
ENSMUSG00000000441	431
ENSMUSG00000000486	8
ENSMUSG00000000489	245
ENSMUSG00000000530	97
ENSMUSG00000000531	18
ENSMUSG00000000532	80
ENSMUSG00000000538	809
ENSMUSG00000000544	1
ENSMUSG00000000552	63
ENSMUSG00000000555	173
ENSMUSG00000000560	29
ENSMUSG00000000561	256
ENSMUSG00000000562	5
ENSMUSG00000000563	1258
ENSMUSG00000000567	263
ENSMUSG00000000568	1869
ENSMUSG00000000579	517
ENSMUSG00000000581	263
ENSMUSG00000000594	1469
ENSMUSG00000000600	440
ENSMUSG00000000605	231
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	2
ENSMUSG00000000628	53
ENSMUSG00000000631	985
ENSMUSG00000000632	10
ENSMUSG00000000673	87
ENSMUSG00000000682	3
ENSMUSG00000000686	0
ENSMUSG00000000690	216
ENSMUSG00000000693	9
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	3
ENSMUSG00000000708	574
ENSMUSG00000000711	781
ENSMUSG00000000724	16
ENSMUSG00000000730	1
ENSMUSG00000000731	2
ENSMUSG00000000732	113
ENSMUSG00000000738	253
ENSMUSG00000000739	0
ENSMUSG00000000740	1896
ENSMUSG00000000743	63
ENSMUSG00000000751	317
ENSMUSG00000000753	0
ENSMUSG00000000759	547
ENSMUSG00000000766	21
ENSMUSG00000000776	61
ENSMUSG00000000782	7
ENSMUSG00000000787	2340
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	1100
ENSMUSG00000000805	156
ENSMUSG00000000811	178
ENSMUSG00000000817	0
ENSMUSG00000000823	239
ENSMUSG00000000826	1289
ENSMUSG00000000827	458
ENSMUSG00000000838	622
ENSMUSG00000000861	2
ENSMUSG00000000869	7
ENSMUSG00000000876	1252
ENSMUSG00000000881	104
ENSMUSG00000000884	5
ENSMUSG00000000889	0
ENSMUSG00000000901	76
ENSMUSG00000000902	1260
ENSMUSG00000000903	0
ENSMUSG00000000915	237
ENSMUSG00000000916	24
ENSMUSG00000000934	56
ENSMUSG00000000938	61
ENSMUSG00000000942	14
ENSMUSG00000000948	198
ENSMUSG00000000957	70
ENSMUSG00000000958	1052
ENSMUSG00000000959	537
ENSMUSG00000000976	326
ENSMUSG00000000982	1
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	166
ENSMUSG00000001017	390
ENSMUSG00000001018	190
ENSMUSG00000001020	52
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	542
ENSMUSG00000001027	0
ENSMUSG00000001029	16
ENSMUSG00000001034	101
ENSMUSG00000001036	284
ENSMUSG00000001039	40
ENSMUSG00000001052	583
ENSMUSG00000001053	37
ENSMUSG00000001054	253
ENSMUSG00000001056	127
ENSMUSG00000001062	283
ENSMUSG00000001065	62
ENSMUSG00000001076	0
ENSMUSG00000001082	215
ENSMUSG00000001089	1096
ENSMUSG00000001095	34
ENSMUSG00000001098	52
ENSMUSG00000001100	325
ENSMUSG00000001103	0
ENSMUSG00000001105	371
ENSMUSG00000001119	41
ENSMUSG00000001120	187
ENSMUSG00000001123	66
ENSMUSG00000001127	775
ENSMUSG00000001128	32
ENSMUSG00000001131	169
