ensemblid	counts
ENSMUSG00000000001	456
ENSMUSG00000000003	0
ENSMUSG00000000028	8
ENSMUSG00000000031	0
ENSMUSG00000000037	26
ENSMUSG00000000049	27
ENSMUSG00000000056	214
ENSMUSG00000000058	433
ENSMUSG00000000078	145
ENSMUSG00000000085	232
ENSMUSG00000000088	416
ENSMUSG00000000093	66
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	3
ENSMUSG00000000125	0
ENSMUSG00000000126	11
ENSMUSG00000000127	57
ENSMUSG00000000131	508
ENSMUSG00000000134	111
ENSMUSG00000000142	3
ENSMUSG00000000148	40
ENSMUSG00000000149	291
ENSMUSG00000000154	2076
ENSMUSG00000000157	137
ENSMUSG00000000159	358
ENSMUSG00000000167	22
ENSMUSG00000000168	969
ENSMUSG00000000171	1146
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	100
ENSMUSG00000000194	251
ENSMUSG00000000197	13
ENSMUSG00000000202	0
ENSMUSG00000000204	2
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	298
ENSMUSG00000000223	0
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	1
ENSMUSG00000000253	84
ENSMUSG00000000263	0
ENSMUSG00000000266	220
ENSMUSG00000000275	814
ENSMUSG00000000276	107
ENSMUSG00000000278	633
ENSMUSG00000000282	118
ENSMUSG00000000290	4
ENSMUSG00000000295	29
ENSMUSG00000000296	43
ENSMUSG00000000301	1
ENSMUSG00000000303	586
ENSMUSG00000000305	4
ENSMUSG00000000308	77
ENSMUSG00000000317	22
ENSMUSG00000000318	0
ENSMUSG00000000320	36
ENSMUSG00000000325	34
ENSMUSG00000000326	825
ENSMUSG00000000339	38
ENSMUSG00000000340	705
ENSMUSG00000000346	2805
ENSMUSG00000000355	211
ENSMUSG00000000359	32
ENSMUSG00000000365	0
ENSMUSG00000000374	474
ENSMUSG00000000378	42
ENSMUSG00000000381	2
ENSMUSG00000000384	164
ENSMUSG00000000385	478
ENSMUSG00000000386	7
ENSMUSG00000000392	6
ENSMUSG00000000394	2
ENSMUSG00000000399	421
ENSMUSG00000000402	98
ENSMUSG00000000409	0
ENSMUSG00000000411	0
ENSMUSG00000000416	227
ENSMUSG00000000420	1457
ENSMUSG00000000435	0
ENSMUSG00000000439	59
ENSMUSG00000000440	17
ENSMUSG00000000441	562
ENSMUSG00000000486	27
ENSMUSG00000000489	41
ENSMUSG00000000530	57
ENSMUSG00000000531	21
ENSMUSG00000000532	106
ENSMUSG00000000538	855
ENSMUSG00000000544	0
ENSMUSG00000000552	6
ENSMUSG00000000555	60
ENSMUSG00000000560	0
ENSMUSG00000000561	114
ENSMUSG00000000562	2
ENSMUSG00000000563	2359
ENSMUSG00000000567	8
ENSMUSG00000000568	239
ENSMUSG00000000579	331
ENSMUSG00000000581	405
ENSMUSG00000000594	1921
ENSMUSG00000000600	481
ENSMUSG00000000605	247
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	1
ENSMUSG00000000628	2
ENSMUSG00000000631	447
ENSMUSG00000000632	0
ENSMUSG00000000673	482
ENSMUSG00000000682	1
ENSMUSG00000000686	1
ENSMUSG00000000690	207
ENSMUSG00000000693	0
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	6
ENSMUSG00000000708	592
ENSMUSG00000000711	637
ENSMUSG00000000724	11
ENSMUSG00000000730	0
ENSMUSG00000000731	2
ENSMUSG00000000732	20
ENSMUSG00000000738	461
ENSMUSG00000000739	4
ENSMUSG00000000740	516
ENSMUSG00000000743	107
ENSMUSG00000000751	81
ENSMUSG00000000753	2
ENSMUSG00000000759	233
ENSMUSG00000000766	6
ENSMUSG00000000776	16
ENSMUSG00000000782	3
ENSMUSG00000000787	1360
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	4
ENSMUSG00000000804	829
ENSMUSG00000000805	371
ENSMUSG00000000811	58
ENSMUSG00000000817	0
ENSMUSG00000000823	127
ENSMUSG00000000826	493
ENSMUSG00000000827	295
ENSMUSG00000000838	435
ENSMUSG00000000861	0
ENSMUSG00000000869	0
ENSMUSG00000000876	988
