ensemblid	counts
ENSMUSG00000000001	1337
ENSMUSG00000000003	0
ENSMUSG00000000028	70
ENSMUSG00000000031	0
ENSMUSG00000000037	0
ENSMUSG00000000049	8
ENSMUSG00000000056	297
ENSMUSG00000000058	918
ENSMUSG00000000078	2255
ENSMUSG00000000085	543
ENSMUSG00000000088	501
ENSMUSG00000000093	179
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	21
ENSMUSG00000000125	0
ENSMUSG00000000126	9
ENSMUSG00000000127	209
ENSMUSG00000000131	1282
ENSMUSG00000000134	324
ENSMUSG00000000142	3
ENSMUSG00000000148	95
ENSMUSG00000000149	669
ENSMUSG00000000154	2155
ENSMUSG00000000157	107
ENSMUSG00000000159	868
ENSMUSG00000000167	50
ENSMUSG00000000168	1473
ENSMUSG00000000171	1116
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	114
ENSMUSG00000000194	448
ENSMUSG00000000197	0
ENSMUSG00000000202	9
ENSMUSG00000000204	7
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	693
ENSMUSG00000000223	3
ENSMUSG00000000244	1
ENSMUSG00000000247	4
ENSMUSG00000000248	20
ENSMUSG00000000253	381
ENSMUSG00000000263	0
ENSMUSG00000000266	684
ENSMUSG00000000275	2998
ENSMUSG00000000276	183
ENSMUSG00000000278	824
ENSMUSG00000000282	213
ENSMUSG00000000290	69
ENSMUSG00000000295	175
ENSMUSG00000000296	89
ENSMUSG00000000301	2
ENSMUSG00000000303	2312
ENSMUSG00000000305	0
ENSMUSG00000000308	67
ENSMUSG00000000317	52
ENSMUSG00000000318	1
ENSMUSG00000000320	46
ENSMUSG00000000325	238
ENSMUSG00000000326	4083
ENSMUSG00000000339	142
ENSMUSG00000000340	743
ENSMUSG00000000346	8402
ENSMUSG00000000355	348
ENSMUSG00000000359	22
ENSMUSG00000000365	0
ENSMUSG00000000374	512
ENSMUSG00000000378	157
ENSMUSG00000000381	0
ENSMUSG00000000384	274
ENSMUSG00000000385	990
ENSMUSG00000000386	54
ENSMUSG00000000392	12
ENSMUSG00000000394	0
ENSMUSG00000000399	578
ENSMUSG00000000402	104
ENSMUSG00000000409	1
ENSMUSG00000000411	0
ENSMUSG00000000416	287
ENSMUSG00000000420	2076
ENSMUSG00000000435	0
ENSMUSG00000000439	133
ENSMUSG00000000440	4
ENSMUSG00000000441	388
ENSMUSG00000000486	7
ENSMUSG00000000489	873
ENSMUSG00000000530	160
ENSMUSG00000000531	51
ENSMUSG00000000532	226
ENSMUSG00000000538	2337
ENSMUSG00000000544	0
