ensemblid	counts
ENSMUSG00000000001	1729
ENSMUSG00000000003	0
ENSMUSG00000000028	29
ENSMUSG00000000031	5
ENSMUSG00000000037	44
ENSMUSG00000000049	4
ENSMUSG00000000056	232
ENSMUSG00000000058	1481
ENSMUSG00000000078	4371
ENSMUSG00000000085	612
ENSMUSG00000000088	611
ENSMUSG00000000093	394
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	18
ENSMUSG00000000125	0
ENSMUSG00000000126	5
ENSMUSG00000000127	203
ENSMUSG00000000131	1009
ENSMUSG00000000134	741
ENSMUSG00000000142	3
ENSMUSG00000000148	217
ENSMUSG00000000149	372
ENSMUSG00000000154	1590
ENSMUSG00000000157	379
ENSMUSG00000000159	1662
ENSMUSG00000000167	47
ENSMUSG00000000168	1774
ENSMUSG00000000171	1326
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	86
ENSMUSG00000000194	1213
ENSMUSG00000000197	55
ENSMUSG00000000202	0
ENSMUSG00000000204	75
ENSMUSG00000000214	1
ENSMUSG00000000215	0
ENSMUSG00000000216	374
ENSMUSG00000000223	2
ENSMUSG00000000244	0
ENSMUSG00000000247	2
ENSMUSG00000000248	1
ENSMUSG00000000253	381
ENSMUSG00000000263	0
ENSMUSG00000000266	970
ENSMUSG00000000275	2689
ENSMUSG00000000276	352
ENSMUSG00000000278	1430
ENSMUSG00000000282	291
ENSMUSG00000000290	13
ENSMUSG00000000295	163
ENSMUSG00000000296	55
ENSMUSG00000000301	16
ENSMUSG00000000303	3246
ENSMUSG00000000305	5
ENSMUSG00000000308	154
ENSMUSG00000000317	120
ENSMUSG00000000318	2
ENSMUSG00000000320	52
ENSMUSG00000000325	230
ENSMUSG00000000326	10270
ENSMUSG00000000339	160
ENSMUSG00000000340	681
ENSMUSG00000000346	12207
ENSMUSG00000000355	507
ENSMUSG00000000359	51
ENSMUSG00000000365	11
ENSMUSG00000000374	743
ENSMUSG00000000378	341
ENSMUSG00000000381	2
ENSMUSG00000000384	797
ENSMUSG00000000385	1051
ENSMUSG00000000386	19
ENSMUSG00000000392	6
ENSMUSG00000000394	0
ENSMUSG00000000399	649
ENSMUSG00000000402	25
ENSMUSG00000000409	38
ENSMUSG00000000411	21
